Country Name;Country Code;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Austria                                             ;AUT;79.9;80.2;80.4;80.3;80.6;81;80.9;81.1;81.5;81.2;80.9
Bulgaria                                            ;BGR;72.6;72.7;73;73.4;73.5;74.2;74.3;74.9;74.5;74.6;74.6
Switzerland                                         ;CHE;81.5;81.7;82;82;82.2;82.7;82.7;82.8;83.2;82.9;82.9
Cyprus                                              ;CYP;78.8;78.9;79.1;79.2;79.4;79.6;79.8;80;80.2;80.3;80.5
Czech Republic                                      ;CZE;76.5;76.7;77;77.1;77.4;77.9;78.1;78.2;78.8;78.6;78.3
Germany                                             ;DEU;79.1;79.5;79.7;79.8;80;80.4;80.5;80.5;81.1;80.6;80.6
Spain                                               ;ESP;80.8;80.9;81.2;81.5;81.6;82.5;82.4;83.1;83.2;82.8;82.8
Estonia                                             ;EST;72.7;72.8;73.8;74.8;75.4;76.2;76.3;77.1;77;77.6;77.7
France                                              ;FRA;80.8;81.1;81.2;81.4;81.7;82.1;82;82.2;82.7;82.3;82.3
United Kingdom                                      ;GBR;79.2;79.4;79.6;80.1;80.4;81;80.9;81;81.3;81;81
Greece                                              ;GRC;79.4;79.4;79.9;80.2;80.4;80.7;80.6;81.3;81.4;81;81
Croatia                                             ;HRV;75.8;75.7;75.9;76.2;76.5;76.8;76.9;77.1;77.5;77.3;78
Hungary                                             ;HUN;73.1;73.2;73.7;73.9;74.2;74.9;75.1;75.6;75.8;75.6;75.6
Ireland                                             ;IRL;79.2;79.6;80.1;80.2;80.7;80.7;80.8;81;81.3;81.5;81.6
Iceland                                             ;ISL;81.2;81.5;81.6;81.8;81.9;82.4;82.9;82.1;82.9;82.5;82.5
Italy                                               ;ITA;81.3;81.4;81.5;81.6;82;82.2;82.2;82.7;83.1;82.5;82.5
Lithuania                                           ;LTU;71.1;70.9;71.8;72.9;73.3;73.6;73.9;73.9;74.5;74.3;74.3
Luxembourg                                          ;LUX;79.3;79.4;80.5;80.6;80.6;81;81.4;81.8;82.2;82.3;82.3
Malta                                               ;MLT;79.4;79.8;79.6;80.2;81.4;80.7;80.7;81.7;81.9;81.8;81.8
Netherlands                                         ;NLD;79.7;80.1;80.3;80.5;80.7;81.2;81.1;81.3;81.7;81.5;81.5
Norway                                              ;NOR;80.3;80.4;80.6;80.8;81;81.3;81.5;81.8;82.1;82.3;82.5
Poland                                              ;POL;75.1;75.2;75.5;75.7;76.2;76.7;76.7;77;77.6;77.5;77.5
Portugal                                            ;PRT;78.4;78.3;78.5;78.7;79;80.5;80.4;80.7;81.1;81.1;81.1
Russian Federation                                  ;RUS;66.7;67.6;67.9;68.7;68.8;69.7;70.1;70.6;70.7;71.2;71.6
Slovak Republic                                     ;SVK;74.2;74.2;74.7;74.9;75.1;76;76.1;76.4;76.8;76.6;76.6
Slovenia                                            ;SVN;78.1;78.6;78.8;79;79.4;80;80.1;80.3;81.1;80.8;80.8
Sweden                                              ;SWE;80.7;80.9;81.1;81.4;81.5;81.8;81.7;82;82.3;82.2;82.2
Turkey                                              ;TUR;72.9;73.2;73.5;73.9;74.2;74.4;74.7;75;75.2;75.5;75.8
