Country Name,Country Code,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Austria                                             ,AUT,8731471,8633169,8541575,8479375,8429991,8391643,8363404,8343323,8321496,8295487,8268641
Bulgaria                                            ,BGR,7127822,7177991,7223938,7265115,7305888,7348328,7395599,7444443,7492561,7545338,7601022
Switzerland                                         ,CHE,8372413,8282396,8188649,8089346,7996861,7912398,7824909,7743831,7647675,7551117,7483934
Cyprus                                              ,CYP,1170125,1160985,1152309,1143896,1135062,1124835,1112607,1098076,1081563,1063712,1045509
Czech Republic                                      ,CZE,10566332,10546059,10525347,10514272,10510785,10496088,10474410,10443936,10384603,10298828,10238905
Germany                                             ,DEU,82487842,81686611,80982500,80645605,80425823,80274983,81776930,81902307,82110097,82266372,82376451
Spain                                               ,ESP,46484533,46444832,46480882,46620045,46773055,46742697,46576897,46362946,45954106,45226803,44397319
Estonia                                             ,EST,1315790,1315407,1314545,1317997,1322696,1327439,1331475,1334515,1337090,1340680,1346810
France                                              ,FRA,66892205,66624068,66331958,65998573,65659789,65342775,65027507,64707044,64374989,64016227,63621381
United Kingdom                                      ,GBR,65595565,65128861,64613160,64128226,63700300,63258918,62766365,62276270,61806995,61322463,60846820
Greece                                              ,GRC,10770521,10820883,10892413,10965211,11045011,11104899,11121341,11107017,11077841,11048473,11020362
Croatia                                             ,HRV,4174349,4203604,4238389,4255689,4267558,4280622,4417781,4429078,4434508,4436000,4440000
Hungary                                             ,HUN,9814023,9843028,9866468,9893082,9920362,9971727,10000023,10022650,10038188,10055780,10071370
Ireland                                             ,IRL,4749777,4646554,4617225,4598294,4586897,4576794,4560155,4535375,4489544,4398942,4273591
Iceland                                             ,ISL,335439,330815,327386,323764,320716,319014,318041,318499,317414,311566,303782
Italy                                               ,ITA,60627498,60730582,60789140,60233948,59539717,59379449,59277417,59095365,58826731,58438310,58143979
Lithuania                                           ,LTU,2868231,2904910,2932367,2957689,2987773,3028115,3097282,3162916,3198231,3231294,3269909
Luxembourg                                          ,LUX,582014,569604,556319,543360,530946,518347,506953,497783,488650,479993,472637
Malta                                               ,MLT,437418,431874,427364,423374,419455,416268,414508,412477,409379,406724,405308
Netherlands                                         ,NLD,17030314,16939923,16865008,16804432,16754962,16693074,16615394,16530388,16445593,16381696,16346101
Norway                                              ,NOR,5236151,5190239,5137232,5079623,5018573,4953088,4889252,4828726,4768212,4709153,4660677
Poland                                              ,POL,37970087,37986412,38011735,38040196,38063164,38063255,38042794,38151603,38125759,38120560,38141267
Portugal                                            ,PRT,10325452,10358076,10401062,10457295,10514844,10557560,10573100,10568247,10558177,10542964,10522288
Russian Federation                                  ,RUS,144342396,144096870,143819666,143506911,143201676,142960868,142849449,142785342,142742350,142805088,143049528
Slovak Republic                                     ,SVK,5430798,5423801,5418649,5413393,5407579,5398384,5391428,5386406,5379233,5374622,5373054
Slovenia                                            ,SVN,2065042,2063531,2061980,2059953,2057159,2052843,2048583,2039669,2021316,2018122,2006868
Sweden                                              ,SWE,9923085,9799186,9696110,9600379,9519374,9449213,9378126,9298515,9219637,9148092,9080505
Turkey                                              ,TUR,79512426,78271472,77030628,75787333,74569867,73409455,72326914,71339185,70440032,69597281,68763405
